continent,country,network,netmask,src_addr,dst_addr,next_hop,input_iface,output_iface,pkts_sent,bytes_sent,start_time,end_time,src_port,dst_port,ip_proto,tos,src_as,dst_as,src_mask,dst_mask,tcp_flag_ACK,tcp_flag_CWR,tcp_flag_ECE,tcp_flag_FIN,tcp_flag_PSH,tcp_flag_RST,tcp_flag_SYN,tcp_flag_URG,flow_time
NoA,US,29.107.96.134,7,29.107.96.134,100.10.20.4,0.0.0.0,0,0,43,58716,2014-08-24 01:43:45,2014-08-24 02:17:09,39786,80,TCP,0,0,0,0,0,1,0,0,0,1,1,1,0,2004.0
NoA,US,100.10.20.4,11,100.10.20.4,29.107.96.134,0.0.0.0,0,0,26,1681,2014-08-24 01:43:45,2014-08-24 02:17:09,80,39786,TCP,0,0,0,0,0,1,0,0,1,1,1,1,0,2004.0
NoA,US,29.107.96.134,7,29.107.96.134,100.10.20.4,0.0.0.0,0,0,41,55716,2014-08-24 02:17:15,2014-08-24 02:50:39,39792,80,TCP,0,0,0,0,0,1,0,0,0,1,1,1,0,2004.0
NoA,US,100.10.20.4,11,100.10.20.4,29.107.96.134,0.0.0.0,0,0,22,1497,2014-08-24 02:17:15,2014-08-24 02:50:39,80,39792,TCP,0,0,0,0,0,1,0,0,1,1,1,1,0,2004.0
EU,RO,89.44.100.150,15,89.44.100.150,100.10.20.4,0.0.0.0,0,0,226,14551,2014-08-21 07:08:44,2014-08-22 01:16:13,1123,80,TCP,0,0,0,0,0,1,0,0,1,1,0,1,0,65249.0
NoA,US,100.10.20.4,11,100.10.20.4,89.44.100.150,0.0.0.0,0,0,427,624480,2014-08-21 07:08:44,2014-08-22 01:16:13,80,1123,TCP,0,0,0,0,0,1,0,0,1,1,0,1,0,65249.0
NoA,US,100.10.20.3,11,100.10.20.3,100.10.20.4,0.0.0.0,0,0,7,559,2014-08-22 01:16:00,2014-08-22 01:16:05,3306,2536,TCP,0,0,0,0,0,1,0,0,1,1,0,1,0,5.0
NoA,US,100.10.20.4,11,100.10.20.4,100.10.20.3,0.0.0.0,0,0,8,445,2014-08-22 01:16:00,2014-08-22 01:16:05,2536,3306,TCP,0,0,0,0,0,1,0,0,1,1,0,1,0,5.0
NoA,US,29.107.96.134,7,29.107.96.134,100.10.20.4,0.0.0.0,0,0,5,337,2014-08-22 01:26:27,2014-08-22 01:26:33,38634,80,TCP,0,0,0,0,0,1,0,0,1,1,0,1,0,6.0
NoA,US,100.10.20.4,11,100.10.20.4,29.107.96.134,0.0.0.0,0,0,4,478,2014-08-22 01:26:27,2014-08-22 01:26:33,80,38634,TCP,0,0,0,0,0,1,0,0,1,1,0,1,0,6.0
EU,GB,92.6.84.66,11,92.6.85.122,100.10.20.4,0.0.0.0,0,0,6,388,2014-08-22 01:27:26,2014-08-22 01:28:28,38636,80,TCP,0,0,0,0,0,1,0,0,1,1,0,1,0,62.0
NoA,US,100.10.20.4,11,100.10.20.4,92.6.85.122,0.0.0.0,0,0,5,554,2014-08-22 01:27:26,2014-08-22 01:28:28,80,38636,TCP,0,0,0,0,0,1,0,0,1,1,0,1,0,62.0
NoA,US,100.10.20.3,11,100.10.20.3,100.10.20.4,0.0.0.0,0,0,7,559,2014-08-22 01:28:16,2014-08-22 01:28:22,3306,2537,TCP,0,0,0,0,0,1,0,0,1,1,0,1,0,6.0
NoA,US,100.10.20.4,11,100.10.20.4,100.10.20.3,0.0.0.0,0,0,8,445,2014-08-22 01:28:16,2014-08-22 01:28:22,2537,3306,TCP,0,0,0,0,0,1,0,0,1,1,0,1,0,6.0
NoA,US,100.10.20.3,11,100.10.20.3,100.20.1.3,0.0.0.0,0,0,5,268,2014-08-22 01:30:46,2014-08-22 01:30:48,26153,53,TCP,0,0,0,0,0,1,0,0,1,1,0,1,0,2.0
